id,name,description,work_flow,audio_codec,audio_channel,audio_data_rate,audio_format,audio_sample_rate,audio_sample_size,video_codec,video_bit_rate,video_bit_rate_max_percent,video_bit_rate_method,video_frame_rate,video_frame_size,video_key_frame
30,MOV.xss,,FormatTemplates.QuickTime,"MPEG-4 Audio",ChannelModeStereo,"","",44100,16,SMISV3ProVideoCodec,1024000,,BitRateModeOnePassCBR,-2,720x480,150
31,MOV_Motion_JPEG.spfx,"High data-rate, low-loss intermediate formate that is universally accessible.  ","Editing.Offline Editing",appllpcm,ChannelModeStereo,0,None,48000,16,applmjpa,"",,"",-1,320x240,""
32,MOV_Wii.spfx,"",Devices.Gaming,appllpcm,ChannelModeStereo,0,None,44100,16,applmjpa,"",,"",-1,852x480,""
33,MOV_h264_1200Kbps_480p.spfx,"QuickTime video for progressive download on fast Wi-Fi network connections.","","applaac ",ChannelModeStereo,0,None,44100,16,MCptH264,990000,150%,BitRateModeTwoPassVBR,-1,852x480,10/Seconds
34,MOV_h264_2000Kbps_720p.spfx,"QuickTime video for progressive download on slow broadband network connections.","","applaac ",ChannelModeStereo,0,None,44100,16,MCptH264,990000,150%,BitRateModeTwoPassVBR,-1,852x480,10/Seconds
35,MOV_h264_3000Kbps_720p.spfx,"QuickTime video for progressive download on average broadband network connections.","","applaac ",ChannelModeStereo,0,None,44100,16,MCptH264,2800000,150%,BitRateModeTwoPassVBR,-1,852x480,10/Seconds
36,MOV_h264_512Kbps_288p.spfx,"QuickTime video for progressive download on average 3g network connections.","","applaac ",ChannelModeMono,0,None,22050,16,MCptH264,400000,150%,BitRateModeTwoPassVBR,-1,512x288,10/Seconds
37,MOV_h264_768Kbps_360p.spfx,"QuickTime video for progressive download on fast 3g network connections.","","applaac ",ChannelModeStereo,0,None,44100,16,MCptH264,600000,150%,BitRateModeTwoPassVBR,-1,640x360,10/Seconds
38,MP3.xss,,FormatTemplates.MP3,"Fraunhofer MP3",ChannelModeStereo,256000,"",48000,16,,,,,,,
39,MP3_128kbit_44kHz_stereo.spfx,"MPEG-1/Layer 3 Audio File Format.","","SMI MP3 ",ChannelModeStereo,128000,None,44100,16,,,,,,,
40,MP3_192kbit_44kHz_stereo.spfx,"MPEG-1/Layer 3 Audio File Format.","","SMI MP3 ",ChannelModeStereo,192000,None,44100,16,,,,,,,
41,MP3_256kbit_44kHz_stereo.spfx,"MPEG-1/Layer 3 Audio File Format.","","SMI MP3 ",ChannelModeStereo,256000,None,44100,16,,,,,,,
42,MP3_96kbit_44kHz_stereo.spfx,"MPEG-1/Layer 3 Audio File Format.","","SMI MP3 ",ChannelModeStereo,96000,None,44100,16,,,,,,,
43,MP4.xss,,"FormatTemplates.MPEG 4","Coding Technologies aac",ChannelModeStereo,64000,None,44100,16,AVCVideoCodec,1015000,,BitRateModeSorensonTwoPassVBR,-1,640x480,150
44,MP4_Blu-ray_24_1080p.spfx,"Recommended for use with DVD authoring applications for progressive source files having frame dimensions of 1920x1080 with 24fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",25000000,120%,BitRateModeTwoPassVBR,24,1920x1080,10/Seconds
45,MP4_Blu-ray_24_1440x1080p.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1400x1080 with 24fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",20000000,125%,BitRateModeTwoPassVBR,24,1440x1080,10/Seconds
46,MP4_Blu-ray_24_720p.spfx,"Recommended for use with DVD authoring applications for progressive source files having frame dimensions of 1280x720 with 24fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",15000000,135%,BitRateModeTwoPassVBR,24,1280x720,10/Seconds
47,MP4_Blu-ray_25_1080i.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1920x1080 with 25fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",25000000,120%,BitRateModeTwoPassVBR,25,1920x1080,10/Seconds
48,MP4_Blu-ray_25_1440x1080i.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1440x1080 with 25fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",20000000,125%,BitRateModeTwoPassVBR,25,1440x1080,10/Seconds
49,MP4_Blu-ray_29.97_1080i.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1920x1080 with 29.97fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",25000000,120%,BitRateModeTwoPassVBR,29.97,1920x1080,10/Seconds
50,MP4_Blu-ray_29.97_1440x1080i.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1920x1080 with 29.97fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",20000000,125%,BitRateModeTwoPassVBR,29.97,1440x1080,10/Seconds
51,MP4_Gen1_h264_1400Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.h264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,MCptH264,1272000,110%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds
52,MP4_Gen1_h264_2500Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.h264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,MCptH264,1272000,110%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds
53,MP4_Gen1_h264_768Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.h264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,MCptH264,592000,129%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds
54,MP4_Gen1_x264_1400Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.x264",AACAudioCodec,ChannelModeStereo,128000,None,48000,16,x264H264,1272000,200%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds
55,MP4_Gen1_x264_2500Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.x264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,x264H264,1400000,180%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds
