id,name,description,work_flow,audio_codec,audio_channel,audio_data_rate,audio_format,audio_sample_rate,audio_sample_size,video_codec,video_bit_rate,video_bit_rate_max_percent,video_bit_rate_method,video_frame_rate,video_frame_size,video_key_frame
92,MP4_MS_IIS_h264_SF_16x9_720p.spfx,"h264 short form (Less than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
93,MP4_MS_IIS_h264_SF_16x9_720p.spfx,"h264 short form (Less than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
94,MP4_MS_IIS_h264_SF_16x9_720p.spfx,"h264 short form (Less than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
95,MP4_MS_IIS_h264_SF_4x3_480p.spfx,"h264 short form (Less than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,125%,BitRateModeOnePassCBR,-1,384x288,2/Seconds
96,MP4_MS_IIS_h264_SF_4x3_480p.spfx,"h264 short form (Less than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,125%,BitRateModeOnePassCBR,-1,384x288,2/Seconds
97,MP4_MS_IIS_h264_SF_4x3_480p.spfx,"h264 short form (Less than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,125%,BitRateModeOnePassCBR,-1,384x288,2/Seconds
98,MP4_MS_IIS_h264_SF_4x3_480p.spfx,"h264 short form (Less than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,125%,BitRateModeOnePassCBR,-1,384x288,2/Seconds
99,MP4_MS_IIS_h264_SF_4x3_480p.spfx,"h264 short form (Less than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,125%,BitRateModeOnePassCBR,-1,384x288,2/Seconds
100,MP4_MS_IIS_h264_SF_4x3_480p.spfx,"h264 short form (Less than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,125%,BitRateModeOnePassCBR,-1,384x288,2/Seconds
101,MP4_MS_IIS_h264_SF_MAR_720p.spfx,"h264 short form (Less than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
102,MP4_MS_IIS_h264_SF_MAR_720p.spfx,"h264 short form (Less than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
103,MP4_MS_IIS_h264_SF_MAR_720p.spfx,"h264 short form (Less than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
104,MP4_MS_IIS_h264_SF_MAR_720p.spfx,"h264 short form (Less than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
105,MP4_MS_IIS_h264_SF_MAR_720p.spfx,"h264 short form (Less than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
106,MP4_MS_IIS_h264_SF_MAR_720p.spfx,"h264 short form (Less than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
107,MP4_Midrange_iPod_2500Kbps_360p.spfx,"Midrange iPod, 16x9 aspect ratio. AVC Baseline Profilie.","Devices.Apple i-Devices",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,MCptH264,1400000,172%,BitRateModeTwoPassVBR,-1,640x360,10/Seconds
108,MP4_Midrange_iPod_2500Kbps_480p.spfx,"Midrange iPod, 4x3 aspect ratio. AVC Baseline Profilie.","Devices.Apple i-Devices",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,MCptH264,1400000,172%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds
109,MP4_YouTube_h264_1080p.spfx,"Optimized output for YouTube upload of 1080p source files.",Web.Destinations.YouTube.h264,AACAudioCodec,ChannelModeStereo,256000,None,44100,16,MCptH264,6000000,160%,BitRateModeTwoPassVBR,-1,1920x1080,300/Frames
110,MP4_YouTube_h264_240p.spfx,"Optimized output for YouTube upload of 240p source files.",Web.Destinations.YouTube.h264,AACAudioCodec,ChannelModeStereo,64000,None,44100,16,MCptH264,659968,160%,BitRateModeOnePassCBR,-1,320x240,300/Frames
111,MP4_YouTube_h264_480p.spfx,"Optimized output for YouTube upload of 480p source files.",Web.Destinations.YouTube.h264,AACAudioCodec,ChannelModeStereo,192000,None,44100,16,MCptH264,2000000,160%,BitRateModeTwoPassVBR,-1,640x480,300/Frames
112,MP4_YouTube_h264_720p.spfx,"Optimized output for YouTube upload of 720p source files.",Web.Destinations.YouTube.h264,AACAudioCodec,ChannelModeStereo,256000,None,44100,16,MCptH264,5000000,160%,BitRateModeTwoPassVBR,-1,1280x720,300/Frames
113,MP4_YouTube_x264_1080p.spfx,"Optimized output for YouTube upload of 1080p source files.",Web.Destinations.YouTube.x264,AACAudioCodec,ChannelModeStereo,256000,None,44100,16,x264H264,6000000,160%,BitRateModeTwoPassVBR,-1,1920x1080,300/Frames
114,MP4_YouTube_x264_240p.spfx,"Optimized output for YouTube upload of 240p source files.",Web.Destinations.YouTube.x264,AACAudioCodec,ChannelModeStereo,64000,None,44100,16,x264H264,660000,160%,BitRateModeOnePassCBR,-1,320x240,300/Frames
115,MP4_YouTube_x264_480p.spfx,"Optimized output for YouTube upload of 480p source files.",Web.Destinations.YouTube.x264,AACAudioCodec,ChannelModeStereo,192000,None,44100,16,x264H264,2000000,160%,BitRateModeTwoPassVBR,-1,640x480,300/Frames
116,MP4_YouTube_x264_720p.spfx,"Optimized output for YouTube upload of 720p source files.",Web.Destinations.YouTube.x264,AACAudioCodec,ChannelModeStereo,256000,None,44100,16,x264H264,5000000,160%,BitRateModeTwoPassVBR,-1,1280x720,300/Frames
117,MP4_h264_1200Kbps_480p.spfx,"MPEG-4 video for progressive download on fast Wi-Fi network connections.","Web.Progressive Download.h264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,MCptH264,990000,121%,BitRateModeTwoPassVBR,-1,852x480,10/Seconds
118,MP4_h264_2000Kbps_720p.spfx,"MPEG-4 video for progressive download on slow broadband network connections.","Web.Progressive Download.h264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,MCptH264,1800000,111%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds
119,MP4_h264_3000Kbps_720p.spfx,"MPEG-4 video for progressive download on average broadband network connections.","Web.Progressive Download.h264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,MCptH264,2500000,120%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds
120,MP4_h264_512Kbps_288p.spfx,"MPEG-4 video for progressive download on average 3g network connections.","Web.Progressive Download.h264",AACAudioCodec,ChannelModeStereo,96000,None,44100,16,MCptH264,400000,128%,BitRateModeTwoPassVBR,-1,512x288,10/Seconds
121,MP4_h264_768Kbps_360p.spfx,"MPEG-4 video for progressive download on fast 3g network connections.","Web.Progressive Download.h264",AACAudioCodec,ChannelModeStereo,96000,None,44100,16,MCptH264,600000,128%,BitRateModeTwoPassVBR,-1,640x360,10/Seconds
122,MP4_iPad-iPhone4_5Mbps_720p.spfx,"iPad, and iPhone 4/iPod touch with Retina Display and Apple TV. AVC Main Profilie.","Devices.Apple i-Devices",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,MCptH264,3500000,200%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds
123,MP4_x264_1200Kbps_480p.spfx,"MPEG-4 video for progressive download on fast Wi-Fi network connections.","Web.Progressive Download.x264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,x264H264,990000,121%,BitRateModeTwoPassVBR,-1,720x480,10/Seconds
124,MP4_x264_2000Kbps_720p.spfx,"MPEG-4 video for progressive download on slow broadband network connections.","Web.Progressive Download.x264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,x264H264,1800000,111%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds
125,MP4_x264_3000Kbps_720p.spfx,"MPEG-4 video for progressive download on average broadband network connections.","Web.Progressive Download.x264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,x264H264,2500000,120%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds
126,MP4_x264_512Kbps_288p.spfx,"MPEG-4 video for progressive download on average 3g network connections.","Web.Progressive Download.x264",AACAudioCodec,ChannelModeStereo,96000,None,44100,16,x264H264,400000,128%,BitRateModeTwoPassVBR,-1,512x288,10/Seconds
127,MP4_x264_768Kbps_360p.spfx,"MPEG-4 video for progressive download on fast 3g network connections.","Web.Progressive Download.x264",AACAudioCodec,ChannelModeStereo,96000,None,44100,16,x264H264,600000,150%,BitRateModeTwoPassVBR,-1,640x360,10/Seconds
128,MPG.xss,,FormatTemplates.MPG,"MPEG Layer 2 Audio",ChannelModeStereo,224000,"DVD (MPEG 2)",48000,16,MPEG2VideoCodec,3072000,,BitRateModeTwoPassVBR,"",720x480,""
129,MPG_Apple_HLS_h264_LF_16x9_720p.spfx,"h264 long form (More than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
130,MPG_Apple_HLS_h264_LF_16x9_720p.spfx,"h264 long form (More than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
131,MPG_Apple_HLS_h264_LF_16x9_720p.spfx,"h264 long form (More than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
132,MPG_Apple_HLS_h264_LF_16x9_720p.spfx,"h264 long form (More than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
133,MPG_Apple_HLS_h264_LF_16x9_720p.spfx,"h264 long form (More than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
134,MPG_Apple_HLS_h264_LF_16x9_720p.spfx,"h264 long form (More than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
135,MPG_Apple_HLS_h264_LF_4x3_480p.spfx,"h264 long form (More than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,125%,BitRateModeOnePassCBR,10,384x288,2/Seconds
136,MPG_Apple_HLS_h264_LF_4x3_480p.spfx,"h264 long form (More than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,125%,BitRateModeOnePassCBR,10,384x288,2/Seconds
137,MPG_Apple_HLS_h264_LF_4x3_480p.spfx,"h264 long form (More than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,125%,BitRateModeOnePassCBR,10,384x288,2/Seconds
138,MPG_Apple_HLS_h264_LF_4x3_480p.spfx,"h264 long form (More than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,125%,BitRateModeOnePassCBR,10,384x288,2/Seconds
139,MPG_Apple_HLS_h264_LF_4x3_480p.spfx,"h264 long form (More than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,125%,BitRateModeOnePassCBR,10,384x288,2/Seconds
140,MPG_Apple_HLS_h264_LF_4x3_480p.spfx,"h264 long form (More than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,125%,BitRateModeOnePassCBR,10,384x288,2/Seconds
141,MPG_Apple_HLS_h264_LF_MAR_720p.spfx,"h264 long form (More than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
142,MPG_Apple_HLS_h264_LF_MAR_720p.spfx,"h264 long form (More than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
143,MPG_Apple_HLS_h264_LF_MAR_720p.spfx,"h264 long form (More than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
144,MPG_Apple_HLS_h264_LF_MAR_720p.spfx,"h264 long form (More than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
145,MPG_Apple_HLS_h264_LF_MAR_720p.spfx,"h264 long form (More than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
146,MPG_Apple_HLS_h264_LF_MAR_720p.spfx,"h264 long form (More than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Long Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
147,MPG_Apple_HLS_h264_SF_16x9_720p.spfx,"h264 short form (Less than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
148,MPG_Apple_HLS_h264_SF_16x9_720p.spfx,"h264 short form (Less than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
149,MPG_Apple_HLS_h264_SF_16x9_720p.spfx,"h264 short form (Less than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
150,MPG_Apple_HLS_h264_SF_16x9_720p.spfx,"h264 short form (Less than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
151,MPG_Apple_HLS_h264_SF_16x9_720p.spfx,"h264 short form (Less than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
152,MPG_Apple_HLS_h264_SF_16x9_720p.spfx,"h264 short form (Less than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
153,MPG_Apple_HLS_h264_SF_4x3_480p.spfx,"h264 short form (Less than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,125%,BitRateModeOnePassCBR,10,384x288,2/Seconds
154,MPG_Apple_HLS_h264_SF_4x3_480p.spfx,"h264 short form (Less than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,125%,BitRateModeOnePassCBR,10,384x288,2/Seconds
155,MPG_Apple_HLS_h264_SF_4x3_480p.spfx,"h264 short form (Less than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,125%,BitRateModeOnePassCBR,10,384x288,2/Seconds
156,MPG_Apple_HLS_h264_SF_4x3_480p.spfx,"h264 short form (Less than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,125%,BitRateModeOnePassCBR,10,384x288,2/Seconds
157,MPG_Apple_HLS_h264_SF_4x3_480p.spfx,"h264 short form (Less than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,125%,BitRateModeOnePassCBR,10,384x288,2/Seconds
158,MPG_Apple_HLS_h264_SF_4x3_480p.spfx,"h264 short form (Less than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,125%,BitRateModeOnePassCBR,10,384x288,2/Seconds
159,MPG_Apple_HLS_h264_SF_MAR_720p.spfx,"h264 short form (Less than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
160,MPG_Apple_HLS_h264_SF_MAR_720p.spfx,"h264 short form (Less than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
161,MPG_Apple_HLS_h264_SF_MAR_720p.spfx,"h264 short form (Less than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
162,MPG_Apple_HLS_h264_SF_MAR_720p.spfx,"h264 short form (Less than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
163,MPG_Apple_HLS_h264_SF_MAR_720p.spfx,"h264 short form (Less than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
164,MPG_Apple_HLS_h264_SF_MAR_720p.spfx,"h264 short form (Less than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Apple HLS.Short Form","MCptAAC ",ChannelModeStereo,64000,"",44100,16,"MCpt264 ",110000,150%,BitRateModeOnePassCBR,10,512x288,2/Seconds
165,MPG_Blu-ray_23.98_1080p.spfx,"Recommended for use with DVD authoring applications for progressive source files having frame dimensions of 1920x1080 with 23.98fps.","Disc.Blu-ray Authoring.MPEG-2","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,MPEG2VideoCodec,29296000,,BitRateModeTwoPassVBR,23.98,1920x1080,12/Frames
166,MPG_Blu-ray_23.98_720p.spfx,"Recommended for use with DVD authoring applications for progressive source files having frame dimensions of 1280x720 with 23.98fps.","Disc.Blu-ray Authoring.MPEG-2","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,MPEG2VideoCodec,14000000,,BitRateModeTwoPassVBR,23.98,1280x720,12/Frames
167,MPG_Blu-ray_24_1080p.spfx,"Recommended for use with DVD authoring applications for progressive source files having frame dimensions of 1920x1080 with 24fps.","Disc.Blu-ray Authoring.MPEG-2","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,MPEG2VideoCodec,30000000,,BitRateModeTwoPassVBR,24,1920x1080,12/Frames
168,MPG_Blu-ray_24_720p.spfx,"Recommended for use with DVD authoring applications for progressive source files having frame dimensions of 1280x720 with 24fps.","Disc.Blu-ray Authoring.MPEG-2","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,MPEG2VideoCodec,14000000,,BitRateModeTwoPassVBR,24,1280x720,12/Frames
169,MPG_Blu-ray_50_1080i.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1920x1080 with 50fps.","Disc.Blu-ray Authoring.MPEG-2","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,MPEG2VideoCodec,30517000,,BitRateModeTwoPassVBR,25,1920x1080,12/Frames
170,MPG_Blu-ray_50_720p.spfx,"Recommended for use with DVD authoring applications for progressive source files having frame dimensions of 1280x720 with 50fps.","Disc.Blu-ray Authoring.MPEG-2","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,MPEG2VideoCodec,28000000,,BitRateModeTwoPassVBR,50,1280x720,12/Frames
171,MPG_Blu-ray_60_1080i.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1920x1080 with 60fps.","Disc.Blu-ray Authoring.MPEG-2","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,MPEG2VideoCodec,36620000,,BitRateModeTwoPassVBR,29.97,1920x1080,15/Frames
172,MPG_Blu-ray_60_720p.spfx,"Recommended for use with DVD authoring applications for progressive source files having frame dimensions of 1280x720 with 60fps.","Disc.Blu-ray Authoring.MPEG-2","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,MPEG2VideoCodec,32000000,,BitRateModeTwoPassVBR,59.94,1280x720,12/Frames
