id,name,encoder,decoder,muxer,demuxer,protocol,bitfilter,filter,parser,hwaccel,indev,outdev
50,frwu,,1,,,,,,,,,
330,g722,,,1,1,,,,,,,
382,gif,1,1,1,,,,,,,,
447,gopher,,,,,1,,,,,,
154,gradfun,,,,,,,1,,,,
137,gsm,,1,,1,,,,,,,
385,gsm_ms,,1,,,,,,,,,
470,gxf,,,1,1,,,,,,,
182,h261,1,1,1,1,,,,1,,,
515,h263,1,1,1,1,,,,1,,,
213,h263_vaapi,,,,,,,,,1,,
190,h263i,,1,,,,,,,,,
188,h263p,1,,,,,,,,,,
324,h264,,1,1,1,,,,1,,,
524,h264_crystalhd,,1,,,,,,,,,
22,h264_dxva2,,,,,,,,,1,,
230,h264_mp4toannexb,,,,,,1,,,,,
354,h264_vaapi,,,,,,,,,1,,
331,h264_vdpau,,1,,,,,,,,,
487,hflip,,,,,,,1,,,,
294,hqdn3d,,,,,,,1,,,,
256,http,,,,,1,,,,,,
525,huffyuv,1,1,,,,,,,,,
281,idcin,,1,,1,,,,,,,
84,iff,,,,1,,,,,,,
139,iff_byterun1,,1,,,,,,,,,
473,iff_ilbm,,1,,,,,,,,,
417,image2,,,1,1,,,,,,,
226,image2pipe,,,1,1,,,,,,,
280,imc,,1,,,,,,,,,
39,imx_dump_header,,,,,,1,,,,,
87,indeo2,,1,,,,,,,,,
419,indeo3,,1,,,,,,,,,
228,indeo5,,1,,,,,,,,,
32,ingenient,,,,1,,,,,,,
33,interplay_dpcm,,1,,,,,,,,,
368,interplay_video,,1,,,,,,,,,
366,ipmovie,,,,1,,,,,,,
290,ipod,,,1,,,,,,,,
172,iss,,,,1,,,,,,,
506,iv8,,,,1,,,,,,,
313,ivf,,,1,1,,,,,,,
388,jack,,,,,,,,,,1,
175,jpeg2000,,1,,,,,,,,,
332,jpegls,1,1,,,,,,,,,
123,jv,,1,,1,,,,,,,
509,kgv1,,1,,,,,,,,,
315,kmvc,,1,,,,,,,,,
122,lagarith,,1,,,,,,,,,
